University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Activity Rank,Desirability Rank,Student View Rank,Affordability Rank,Student Mix Rank,Rankings Rank,Employer Activity Score,Desirability Score,Student View Score,Affordability Score,Student Mix Score,Rankings Score
Amman,/university-rankings-articles/qs-best-student-cities/amman,,Jordan,,,59.4,103,,False,False,=61,138,=89,62,106,112,69.3,27.6,58.7,54.3,53.6,29.3
Johannesburg,/university-rankings-articles/qs-best-student-cities/johannesburg,,South Africa,,,59.2,104,,False,False,145,118,=75,23,=100,=102,28.6,37.8,69.3,69.9,54.2,32.1
Pretoria,/university-rankings-articles/qs-best-student-cities/pretoria,,South Africa,,,58.5,105,,False,False,133,133,94,17,=63,131,36.4,30.2,55.9,72.1,74.4,19.8
Doha,/university-rankings-articles/qs-best-student-cities/doha,,Qatar,,,58.4,106,,False,False,117,99,87,=88,114,=78,43.8,49.2,59.6,43.4,50.9,41.3
Houston,/university-rankings-articles/qs-best-student-cities/houston,,United States,,,58.2,107,,False,False,123,=83,86,138,91,=82,40.9,57.6,60.2,28.1,60.7,39.8
Tainan,/university-rankings-articles/qs-best-student-cities/tainan,,Taiwan,,,58.1,108,,False,False,109,106,111,12,131,115,47.7,44.4,48.1,75.6,41.8,28.8
Wuhan,/university-rankings-articles/qs-best-student-cities/wuhan,,China (Mainland),,,58,109,,False,False,=120,125,83,39,135,65,43.4,32.3,62.1,61.3,38.8,48
Riyadh,/university-rankings-articles/qs-best-student-cities/riyadh,,Saudi Arabia,,,57.6,110,,False,False,96,120,73,92,130,=90,55.4,33.9,71.6,42.4,43.2,37.7
Quebec,/university-rankings-articles/qs-best-student-cities/quebec,,Canada,,,57.5,111,,False,False,131,26,150,=82,40,141,37.4,85.5,22,44.3,81.8,12.8
Lima,/university-rankings-articles/qs-best-student-cities/lima,,Peru,,,57.2,112,,False,False,15,126,129,77,154,55,88.1,31.2,39.5,48.8,24.4,50.4
Nagoya,/university-rankings-articles/qs-best-student-cities/nagoya,,Japan,,,56.6,113,,False,False,=115,=47,158,31,=121,76,43.9,72,10.4,64.2,46,42.9
Subang Jaya,/university-rankings-articles/qs-best-student-cities/subang-jaya,,Malaysia,,,56.2,114,,False,False,81,145,=134,10,117,122,61.8,22.6,36.2,79.3,50.1,27.2
Manila,/university-rankings-articles/qs-best-student-cities/manila,,Philippines,,,55.7,115,,False,False,65,139,91,22,152,125,67.4,25.7,58.6,70.2,29.1,24
Shah Alam,/university-rankings-articles/qs-best-student-cities/shah-alam,,Malaysia,,,55.7,116,,False,False,75,140,123,6,115,149,64.9,25.2,41.5,85.4,50.7,7
Riga,/university-rankings-articles/qs-best-student-cities/riga,,Latvia,,,55.6,117,,False,False,102,115,81,=112,71,146,52.1,38.2,64.3,37.4,71.4,11.1
Mumbai,/university-rankings-articles/qs-best-student-cities/mumbai,,India,,,54.7,118,,False,False,78,134,107,21,158,84,63.3,29.9,50.4,70.4,16.3,39.7
Vilnius,/university-rankings-articles/qs-best-student-cities/vilnius,,Lithuania,,,54.1,119,,False,False,128,108,100,85,77,134,38.3,43.3,53.7,44.2,67.9,19.3
Beirut,/university-rankings-articles/qs-best-student-cities/beirut,,Lebanon,,,53.4,120,,False,False,56,156,84,159,93,=82,70.7,16,61.6,15.3,59.9,39.8
Astana,/university-rankings-articles/qs-best-student-cities/astana,,Kazakhstan,,,53.2,121,,False,False,64,141,159,2,139,105,67.6,25,10.3,90,37.7,31.6
Jakarta,/university-rankings-articles/qs-best-student-cities/jakarta,,Indonesia,,,52.7,122,,False,False,77,152,137,11,151,=90,63.4,19.5,34.1,75.9,29.6,37.7
Dallas,/university-rankings-articles/qs-best-student-cities/dallas,,United States,,,52.3,123,,False,False,152,=65,74,=135,87,148,22.2,65.4,70.5,29,63.6,7.3
Hannover,/university-rankings-articles/qs-best-student-cities/hannover,,Germany,,,52.2,124,,False,False,135,=58,156,=44,73,142,33,67.1,14.3,60.1,70.6,12.5
Quito,/university-rankings-articles/qs-best-student-cities/quito,,Ecuador,,,52,125,,False,False,=28,155,124,53,=146,=118,82.9,16.2,41,57.6,31.1,27.6
Yogyakarta,/university-rankings-articles/qs-best-student-cities/yogyakarta,,Indonesia,,,51.4,126,,False,False,91,158,149,1,148,93,57.1,12.1,22.5,95,30.8,35.9
Wroclaw,/university-rankings-articles/qs-best-student-cities/wroclaw,,Poland,,,51.2,127,,False,False,134,105,106,30,108,158,33.7,45.6,50.5,66.8,52.7,3.1
Busan,/university-rankings-articles/qs-best-student-cities/busan,,South Korea,,,50.7,128,,False,False,=140,=83,=125,28,120,150,31.1,57.6,40.4,67.4,47.5,6.3
Taichung,/university-rankings-articles/qs-best-student-cities/taichung,,Taiwan,,,50.2,129,,False,False,114,=116,139,19,134,127,44.3,37.9,32.3,70.8,39.3,23.2
Montpellier,/university-rankings-articles/qs-best-student-cities/montpellier,,France,,,49.9,130,,False,False,156,80,153,33,67,135,17.2,58.4,16.7,62.9,72.5,18.6
Tallinn,/university-rankings-articles/qs-best-student-cities/tallinn,,Estonia,,,49.6,131,,False,False,130,102,114,76,97,152,37.5,48.1,46.5,49.1,57.5,5.9
Delhi,/university-rankings-articles/qs-best-student-cities/delhi,,India,,,49.4,132,,False,False,76,149,152,25,155,63,63.8,21.1,20.1,68.9,21.2,48.8
Bandung,/university-rankings-articles/qs-best-student-cities/bandung,,Indonesia,,,49.3,133,,False,False,85,157,154,5,145,95,59.8,13.6,15.7,86.4,32.2,35.4
Guangzhou,/university-rankings-articles/qs-best-student-cities/guangzhou,,China (Mainland),,,49.1,134,,False,False,137,132,116,69,109,108,32.3,30.5,45.1,51.1,52.6,30.5
Panama City,/university-rankings-articles/qs-best-student-cities/panama-city,,Panama,,,48.7,135,,False,False,60,=128,119,75,125,159,69.6,30.7,43.3,49.4,44.9,2.5
Valparaiso,/university-rankings-articles/qs-best-student-cities/valparaiso,,Chile,,,48.5,136,,False,False,=28,127,146,=70,138,=143,82.9,31.1,24.6,50.1,38,12.4
Cluj-Napoca,/university-rankings-articles/qs-best-student-cities/cluj-napoca,,Romania,,,48.4,137,,False,False,132,114,136,14,=118,154,37.2,38.8,35.9,74,48.5,4.2
Rio de Janeiro,/university-rankings-articles/qs-best-student-cities/rio-de-janeiro,,Brazil,,,47.9,138,,False,False,33,135,132,=106,156,97,80.6,29.8,36.8,38.2,17.8,33.2
