University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
American University of Ras Al Khaimah,/universities/american-university-ras-al-khaimah,Asia,United Arab Emirates,Ras Al Khaima,https://www.topuniversities.com/sites/default/files/230404082544am873324AURAK-Logo-200x200-48x48.jpg,n/a,54,6,False,False,57,101+,14,3,10,9,51+,101+,16,51+,58.4,15.9,91.7,100,100,100,11.4,15.1,87.9,7.6
An-Najah National University,/universities/najah-national-university,Asia,Palestinian Territories,Nablus,https://www.topuniversities.com/sites/default/files/an-najah-national-university_592560cf2aeae70239af5468_small.jpg,n/a,55,5,False,False,76,75,101+,78,81,51,51+,37,101+,31,34.3,27.4,14.4,28.7,16.5,29.5,26.6,63.4,10,65.3
Arabian Gulf University,/universities/arabian-gulf-university,Asia,Bahrain,Manama,https://www.topuniversities.com/sites/default/files/arabian-gulf-university_2501_small.jpg,n/a,56,,False,False,55,77,61,101+,49,6,51+,101+,8,51+,59.7,27,31.4,6.1,54.8,100,14,13.6,99.3,7.9
Assiut University ,/universities/assiut-university,Africa,Egypt,Asyut,https://www.topuniversities.com/sites/default/files/assiut-university-_592560cf2aeae70239af4f3a_small.jpg,n/a,57,,False,False,101+,26,101+,57,96,89,40,42,95,51+,9.6,78.5,14.3,39.6,8.8,9.8,52.3,54.9,21.2,29.4
German Jordanian University,/universities/german-jordanian-university,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/german-jordanian-university_592560e29988f300e2321333_small.jpg,n/a,58,,False,False,101+,91,29,46,75,65,51+,101+,71,35,1.9,20.3,55.5,47.9,19.3,22.2,30.7,18.2,33.5,58.3
Prince Sultan University,/universities/prince-sultan-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/221201114936am874757PSU-logo-200x200-48x48.jpg,n/a,59,5,False,False,92,50,8,36,28,63,51+,83,79,51+,19,57.9,97.3,61.6,90.7,22.9,21.9,25.3,27.4,21
Qassim University,/universities/qassim-university,Asia,Saudi Arabia,Buraydah,https://www.topuniversities.com/sites/default/files/qassim-university_592560cf2aeae70239af52de_small.jpg,n/a,60,5,False,False,101+,30,101+,101+,46,72,51+,49,32,51+,6.3,73.6,12.5,10.3,56.7,16.6,37,42.4,66.9,12.5
Al-Quds University,/universities/al-quds-university,Asia,Palestinian Territories,East Jerusalem,https://www.topuniversities.com/sites/default/files/al-quds-university-the-arab-university-in-jerusalem_592560cf2aeae70239af5474_small.jpg,n/a,61,5,False,False,48,101+,101+,38,69,32,51+,12,101+,46,66.1,14.3,6.4,58.3,23.3,44.1,15.5,94.6,15.1,45.3
Alfaisal University,/universities/alfaisal-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/alfaisal-university_592560cf2aeae70239af52dd_small.jpg,n/a,62,,False,False,38,94,23,23,24,20,51+,99,52,51+,74.4,19.3,70.3,77.4,93.6,66.4,13.9,21.2,45.4,10.1
The British University in Dubai,/universities/british-university-dubai,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/british-university-in-dubai_592560cf2aeae70239af595c_small.jpg,n/a,63,,False,False,44,101+,4,20,11,8,51+,101+,84,51+,69,2.8,100,81,100,100,13,12.4,25.6,14.9
Helwan University ,/universities/helwan-university,Africa,Egypt,Helwan,https://www.topuniversities.com/sites/default/files/helwan-university-_592560cf2aeae70239af4f3b_small.jpg,n/a,64,,False,False,69,40,101+,63,101+,101+,51+,60,101+,49,42.5,64.8,6.8,34.7,1.2,5.7,30,35.2,4.7,42.1
Mutah University,/universities/mutah-university,Asia,Jordan,Mu'tah,https://www.topuniversities.com/sites/default/files/mutah-university_592560e29988f300e232134e_small.jpg,n/a,65,5,False,False,11,101+,101+,101+,101+,38,51+,101+,91,47,98.4,12.4,15.4,6.6,6.5,39.4,35.1,20.9,22.3,44.4
Northern Borders University,/universities/northern-borders-university,Asia,Saudi Arabia,Arar,https://www.topuniversities.com/sites/default/files/northern-border-university_592560e39988f300e2321469_small.jpg,n/a,66,,False,False,94,101+,101+,54,47,81,39,101+,58,51+,17.8,8.1,9.6,41.2,56,11.9,57.2,1,41.3,12.3
University of Bahrain,/universities/university-bahrain,Asia,Bahrain,Zallaq,https://www.topuniversities.com/sites/default/files/university-of-bahrain_592560cf2aeae70239af5449_small.jpg,n/a,67,,False,False,101+,73,92,101+,60,70,42,41,101+,51+,1,28.9,19.6,8.2,40.5,17.9,49.5,56.5,9.8,35.3
