University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
University of East London,/universities/university-east-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-71-48x48.jpg,17.5,406,,False,False,301+,251+,301+,251+,52,301+,301+,301+,129,301+,301+,287,7.4,8.4,3.7,12.1,74.4,14.8,18.1,1,67.6,1.8,10.8,22.4
Université Paris-Nanterre,/universities/universite-paris-nanterre,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-paris-ouest-nanterre-la-dfense_489_small.jpg,17.5,407,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,197,7.6,25.1,8.7,9.3,1.5,11.1,1.5,5.2,10.5,14.6,34,37.8
Université de Poitiers,/universities/universite-de-poitiers,Europe,France,Poitiers,https://www.topuniversities.com/sites/default/files/universit-de-poitiers_592560cf2aeae70239af4fa2_small.jpg,17.5,408,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,n/a,301+,232,301+,12.2,18.8,10.4,6.2,21.3,16.7,8,5.2,n/a,14.6,54,11.4
Pavol Jozef Šafárik University in Košice,/universities/pavol-jozef-safarik-university-kosice,Europe,Slovakia,Košice,https://www.topuniversities.com/sites/default/files/pavol-josef-safarik-university_592560e59988f300e2321b52_small.jpg,17.4,409,,False,False,98,251+,301+,251+,107,301+,301+,301+,301+,=219,301+,264,72.8,11.5,4.9,11.2,61,13.5,1.9,10.2,2.2,28.5,15,24.9
Université Toulouse - Jean Jaurès,/universities/universite-toulouse-jean-jaures,Europe,France,Toulouse,https://www.topuniversities.com/sites/default/files/universit-de-toulouse-ii-le-mirail_621_small.jpg,17.4,410,,False,False,301+,251+,301+,251+,301+,209,301+,301+,245,301+,301+,301+,2.5,21.5,3.4,10,16.5,37.9,4.6,5.2,27.3,14.6,31.4,6.7
Slovak University of Agriculture in Nitra,/universities/slovak-university-agriculture-nitra,Europe,Slovakia,Nitra,https://www.topuniversities.com/sites/default/files/slovak-university-of-agriculture-in-nitra_59883fafca24f350583de94e_small.jpg,17.3,411,,False,False,259,251+,301+,251+,301+,301+,301+,141,301+,106,301+,252,38.6,18.1,3.5,15.9,6.4,19.4,2.3,43.2,10,60.9,7.4,26.7
Warsaw University of Life Sciences  SGGW (WULS-SGGW),/universities/warsaw-university-life-sciences-sggw-wuls-sggw,Europe,Poland,Warsaw,https://www.topuniversities.com/sites/default/files/warsaw-university-of-life-sciences-sggw-wuls-sggw_14932_small.jpg,17.3,412,,False,False,269,251+,301+,251+,301+,301+,301+,301+,301+,301+,249,301+,36.7,15.2,8.5,16,6.9,17.8,5.5,1.5,2.6,1.2,50.9,7.9
Ivan Franko National University of Lviv,/universities/ivan-franko-national-university-lviv,Europe,Ukraine,Lviv,https://www.topuniversities.com/sites/default/files/-ivan-franko-national-university-of-lviv_592560cf2aeae70239af5ac2_small.jpg,17.2,413,,False,False,191,251+,301+,236,301+,301+,301+,301+,301+,301+,301+,288,53.2,21.3,2.8,31.2,5.6,5.5,1,4.5,1.5,17.3,2.7,22.4
Baku State University,/universities/baku-state-university,Asia,Azerbaijan,Baku,https://www.topuniversities.com/sites/default/files/220117064650am288067resize-16423988381385868772BSUlogopng-48x48.jpg,17.1,414,,False,False,90,232,301+,251+,301+,301+,301+,301+,301+,301+,301+,301+,75.1,30.2,1.8,10.4,5.2,3.7,1.1,1.2,2.3,1.4,3.9,17.4
Yerevan State University,/universities/yerevan-state-university,Asia,Armenia,Yerevan,https://www.topuniversities.com/sites/default/files/yerevan-state-university_592560e59988f300e2321a5c_small.jpg,16.9,415,,False,False,83,251+,301+,251+,301+,301+,301+,301+,301+,138,301+,71,77.8,15.5,1.6,9.9,1.6,3.3,1.1,5.2,5.7,50,2.8,77.8
