University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,61.5,44,,False,False,121-130,36,84,111-120,28,52.9,67.1,64.3,46.2,73.4
Maryland (Smith),/universities/university-maryland-college-park/university-maryland-robert-h-smith-school-business,North America,United States,College Park (MD),https://www.topuniversities.com/sites/default/files/profiles/logos/robert-h.-smith-school-of-business_14553_small.jpg,60.8,45,,False,False,=41,70,111-120,20,131-140,82.6,54.2,56.7,87.5,35.1
Georgia Tech (Scheller),/universities/georgia-institute-technology/georgia-tech-scheller-college-business,North America,United States,Atlanta (GA),https://www.topuniversities.com/sites/default/files/profiles/logos/220609032240pm158005Web-GT-GoldNavy-48x48.jpg,60.4,46,,False,False,22,95,151+,65,59,90.6,48.5,43.2,63.2,53.2
EBS Business School,/universities/ebs-business-school,Europe,Germany,Oestrich-Winkel,https://www.topuniversities.com/sites/default/files/profiles/logos/ebs-business-school_203_small.jpg,60.3,47,,False,False,25,131-140,141-150,41,64,89.1,39.4,48,73.2,51.6
Frankfurt School of Finance & Management,/universities/frankfurt-school-finance-management,Europe,Germany,Frankfurt am Main,https://www.topuniversities.com/sites/default/files/profiles/logos/frankfurt-school-of-finance-management_592560cf2aeae70239af5775_small.jpg,60.1,48,,False,False,=41,=82,121-130,151+,26,82.6,51.2,52.6,31,73.9
Texas A&M (Mays),/universities/texas-am-university/mays-business-school,North America,United States,College Station (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/mays-business-school_592560cf2aeae70239af56ff_small.jpg,59.1,49,,False,False,29,64,151+,=70,74,87.6,55.7,40.7,60.6,49
Lund University,/universities/lund-university/lund-university-school-economics-management,Europe,Sweden,Lund,https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-economics-and-management_59b5a193ca24f3142470b15c_small.jpg,58.4,50,,False,False,=49,47,99,94,76,78.6,61.1,59.2,53.1,48.1
Solvay (Brussels),/universities/universite-libre-de-bruxelles/solvay-brussels-school-economics-management-ulb,Europe,Belgium,Brussels,https://www.topuniversities.com/sites/default/files/profiles/logos/210825101055am68524120150118-SBSEM-OfficialLogoSquare-1700x1700-min-48x48.jpg,58.4,51,,False,False,=43,121-130,151+,101-110,38,81.9,41.3,46.4,51.2,64.7
Cranfield School of Management,/universities/cranfield-university/cranfield-school-management,Europe,United Kingdom,Bedford,https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-1-48x48.jpg,58.2,52,,False,False,151+,69,56,52,41,43.2,54.3,70.4,66.4,62.8
Audencia Business School,/universities/audencia-business-school,Europe,France,Nantes,https://www.topuniversities.com/sites/default/files/profiles/logos/audencia-business-school_592560cf2aeae70239af4db3_small.jpg,58.1,53,,False,False,84,=93,101-110,48,63,67.9,48.6,57.9,69.3,52.2
Universidad Complutense de Madrid (UCM),/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,58.1,54,,False,False,101-110,84,6,77,=61,57.5,50.5,94.7,59.1,52.3
Antwerp Management School,/universities/antwerp-management-school,Europe,Belgium,Antwerp,https://www.topuniversities.com/sites/default/files/profiles/logos/antwerp-management-school_592560cf2aeae70239af5389_small.jpg,57.7,55,,False,False,=55,68,111-120,96,=61,77.5,54.9,56.5,52.3,52.3
Wisconsin School of Business,/universities/university-wisconsin-madison/wisconsin-school-business,North America,United States,Madison (WI),https://www.topuniversities.com/sites/default/files/profiles/logos/wisconsin-school-of-business_592560cf2aeae70239af5746_small.jpg,57.5,56,,False,False,40,=82,151+,28,121-130,82.7,51.2,39.2,81.4,36.9
Washington (Olin),/universities/washington-university-st-louis/olin-business-school,North America,United States,St Louis (MO),https://www.topuniversities.com/sites/default/files/profiles/logos/olin-business-school_592560cf2aeae70239af5861_small.jpg,57.2,57,,False,False,28,111-120,131-140,30,131-140,88.6,43.2,50.2,78.2,35.9
Illinois (Gies),/universities/university-illinois-urbana-champaign/gies-college-business-university-illinois-urbana-champaign,North America,United States,Champaign (IL),https://www.topuniversities.com/sites/default/files/profiles/logos/220929014519pm509893Icon-O-48x48.jpg,56.9,58,,False,False,121-130,63,=78,36,=85,54.5,56,65.7,75.1,46
Purdue (Krannert),/universities/purdue-university/mitchell-e-daniels-jr-school-business,North America,United States,West Lafayette (IN),https://www.topuniversities.com/sites/default/files/profiles/logos/230302034640pm801029Purd-Uni-logo-48x48.jpg,56.7,59,,False,False,72,=65,151+,51,=72,71.4,55.1,39,67.6,49.1
Minnesota (Carlson),/universities/university-minnesota-twin-cities/carlson-school-management,North America,United States,Minneapolis (MN),https://www.topuniversities.com/sites/default/files/profiles/logos/carlson-school-of-management_592560cf2aeae70239af57d1_small.jpg,56.6,60,,False,False,87,52,151+,32,100,66.9,59.4,41.2,76.7,41.8
Ohio State (Fisher),/universities/ohio-state-university/max-m-fisher-college-business,North America,United States,Columbus (OH),https://www.topuniversities.com/sites/default/files/profiles/logos/the-ohio-state-university_592560cf2aeae70239af55a7_small.jpg,56.2,61,,False,False,65,72,151+,45,99,73.8,53.7,45.8,70.8,42.1
IESEG School of Management,/universities/ieseg-school-management-lille-paris-france,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/iseg-school-of-management-lille-paris-france_2447_small.jpg,56.1,62,,False,False,=76,=91,4,33,151+,70.8,48.7,95.9,76.6,26.6
Arizona (Eller),/universities/university-arizona/eller-college-management-university-arizona,North America,United States,Tucson (AZ),https://www.topuniversities.com/sites/default/files/profiles/logos/eller-college-of-management-university-of-arizona-_592560cf2aeae70239af5712_small.jpg,56,63,,False,False,=43,111-120,151+,31,111-120,81.9,44.9,43.6,77.6,38.3
Grenoble Ecole de Management,/universities/grenoble-ecole-de-management/grenoble-ecole-de-management,Europe,France,Grenoble,https://www.topuniversities.com/sites/default/files/profiles/logos/grenoble-ecole-de-management-grenoble-gsb_592560cf2aeae70239af5883_small.jpg,55.9,64,,False,False,60,=65,=29,111-120,91,76.3,55.1,78.6,45.9,44.4
Lancaster University Management School,/universities/lancaster-university/lancaster-university-management-school,Europe,United Kingdom,Lancaster,https://www.topuniversities.com/sites/default/files/profiles/logos/lancaster-university-management-school_5190_small.jpg,55.8,65,,False,False,101-110,35,52,97,89,57.8,69.4,71.8,52,44.8
Durham University Business School,/universities/durham-university-business-school,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/profiles/logos/durham-university-business-school-_592560cf2aeae70239af595f_small.jpg,55.2,66,,False,False,151+,55,24,111-120,44,39.6,58.7,81.1,47.9,62.1
SGH Warsaw School of Economics,/universities/sgh-warsaw-school-economics,Europe,Poland,Warsaw,https://www.topuniversities.com/sites/default/files/profiles/logos/220425010507pm495709SGHlogoRGB-02-48x48.jpg,55,67,,False,False,141-150,46,=45,111-120,52,45.9,61.3,73.3,48.8,57.7
Miami (Herbert),/universities/university-miami/university-miami-patti-allan-herbert-business-school-miami-herbert,North America,United States,Miami (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/221020025050pm660646MHBS-QS-logo-sq-48x48.jpg,54.3,68,,False,False,47,141-150,44,46,131-140,80.8,36.2,73.8,70.7,34.4
Colorado Boulder (Leeds),/universities/university-colorado-boulder/university-colorado-boulder-leeds-school-business,North America,United States,Boulder (CO),https://www.topuniversities.com/sites/default/files/profiles/logos/leeds-school-of-business-university-of-colorado_592560cf2aeae70239af571b_small.jpg,54,69,,False,False,=58,131-140,151+,26,111-120,76.6,40.1,33.8,82.4,39.1
Politecnico di Milano,/universities/polimi-graduate-school-management,Europe,Italy,Milano,https://www.topuniversities.com/sites/default/files/profiles/logos/220518034753pm4921441651566898417-48x48.jpg,53.9,70,,False,False,111-120,=91,151+,131-140,29,55.9,48.7,47.4,38.1,71.8
University of Technology Sydney Business School,/universities/university-technology-sydney/uts-business-school,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-technology-sydney_592560cf2aeae70239af58ee_small.jpg,53.9,71,,False,False,98,90,=32,111-120,69,62.5,48.8,76.9,48.5,50.4
Vanderbilt (Owen),/universities/vanderbilt-university/owen-graduate-school-management,North America,United States,Nashville (TN),https://www.topuniversities.com/sites/default/files/profiles/logos/vanderbilt-university_14592_small.jpg,53.1,72,,False,False,31,111-120,151+,49,121-130,85.1,42.4,36.2,69.2,37.2
