University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidad San Ignacio de Loyola,/universities/universidad-san-ignacio-de-loyola,Latin America,Peru,La Molina,https://www.topuniversities.com/sites/default/files/universidad-san-ignacio-de-loyola_592560cf2aeae70239af5514_small.jpg,n/a,197,4,FALSE,FALSE,85,201+,201+,129,201+,201+,143,201+,40.9,4.5,14.3,26.3,16.9,6.6,26.5,8.2
Universidad de Cartagena ,/universities/universidad-de-cartagena,Latin America,Colombia,Cartagena,https://www.topuniversities.com/sites/default/files/universidad-de-cartagena-_592560cf2aeae70239af54c6_small.jpg,n/a,198,,FALSE,FALSE,139,201+,201+,151+,191,139,159,89,24,12.9,6.9,21,20.4,37.1,24.5,37.2
Universidad de Panamá - UP,/universities/universidad-de-panama,Latin America,Panama,Panama City,https://www.topuniversities.com/sites/default/files/universidad-de-panam-up_592560cf2aeae70239af54db_small.jpg,n/a,199,3,FALSE,FALSE,92,201+,192,122,201+,167,201+,201+,37.4,7.2,17.4,27.5,12.1,30.1,8.8,2.4
Universidad de Sonora,/universities/universidad-de-sonora,Latin America,Mexico,Hermosillo,https://www.topuniversities.com/sites/default/files/universidad-de-sonora_592560cf2aeae70239af5139_small.jpg,n/a,200,,FALSE,FALSE,151+,201+,201+,151+,84,172,117,160,7.6,13.2,11.1,17.3,62.2,29.5,34.7,16.3
Universidade Federal do Triângulo Mineiro,/universities/universidade-federal-do-triangulo-mineiro,Latin America,Brazil,Uberaba,https://www.topuniversities.com/sites/default/files/universidade-federal-do-tringulo-mineiro_592560cf2aeae70239af5550_small.jpg,n/a,201,,FALSE,FALSE,151+,71,201+,151+,34,201+,201+,85,3.9,65.7,9.2,2.1,96.1,10.9,9.5,38.1
Universidad Católica de Córdoba (UCC),/universities/universidad-catolica-de-cordoba-ucc,Latin America,Argentina,Córdoba,https://www.topuniversities.com/sites/default/files/231204014402pm206077LOGO-UCC-Mesa-de-trabajo-1-48x48.jpg,n/a,202,,FALSE,FALSE,151+,123,201+,151+,109,201+,201+,201+,10.7,44.8,7.2,20.1,46.6,7.6,6.3,4.7
Universidade Católica Dom Bosco,/universities/universidade-catolica-dom-bosco,Latin America,Brazil,Campo Grande,https://www.topuniversities.com/sites/default/files/universidade-catlica-dom-bosco_592560cf2aeae70239af536b_small.jpg,n/a,203,,FALSE,FALSE,151+,201+,201+,n/a,147,201+,12,49,1.5,6.4,9.8,n/a,34.3,6.6,97.8,63.6
Universidad EIA,/universities/universidad-eia,Latin America,Colombia,Envigado,https://www.topuniversities.com/sites/default/files/240605042723pm546691Logo-EIA-200x200-48x48.jpg,n/a,204,,FALSE,FALSE,106,201+,181,151+,n/a,201+,49,201+,33,12.7,18.6,7.2,n/a,9,64.5,2.9
Fundação Universidade Federal do Vale do São Francisco ,/universities/fundacao-universidade-federal-do-vale-do-sao-francisco,Latin America,Brazil,Petrolina,https://www.topuniversities.com/sites/default/files/fundao-universidade-federal-do-vale-do-so-francisco-_592560cf2aeae70239af5481_small.jpg,n/a,205,,FALSE,FALSE,151+,53,200,151+,71,201+,201+,126,5.5,75.9,17,4.2,69.3,12.4,3.7,23.1
"Instituto Federal de Educação, Ciência e Tecnologia do Paraná - IFPR",/universities/instituto-federal-de-educacao-ciencia-e-tecnologia-do-parana-ifpr,Latin America,Brazil,Paranavaí,https://www.topuniversities.com/sites/default/files/instituto-federal-de-educao-cincia-e-tecnologia-do-paran-ifpr_592560e09988f300e2320bf4_small.jpg,n/a,206,,FALSE,FALSE,151+,189,73,151+,145,201+,46,178,5.6,29.5,40.9,4.4,34.5,8.7,67.8,13.4
