University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
MIB Trieste School of Management,/universities/mib-trieste-school-management,Europe,Italy,Trieste,https://www.topuniversities.com/sites/default/files/profiles/logos/logo-trieste-48x48.jpg,39.5,224,,False,False,201-250,251+,201-250,77,251+,33.1,44.4,35.9,84,22.9
Management Development Institute Gurgaon,/universities/mdi-gurgaon,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/profiles/logos/220923124429pm344802download--1--48x48.jpg,35.3,225,,False,False,201-250,151-200,251+,151-200,201-250,30,57,30.9,56.7,41.3
Otago Business School,/universities/university-otago/university-otago-business-school,Oceania,New Zealand,Dunedin,https://www.topuniversities.com/sites/default/files/profiles/logos/220808072420am7301141280px-University-of-Otago-in-Dunedin%252C-NZ-48x48.jpg,39.5,226,,False,False,151-200,95,251+,201-250,201-250,41.4,68.6,27.7,49.8,38.4
Pacifico Business School,/universities/universidad-del-pacifico/pacifico-business-school,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/pacifico-business-school_5c86158b10ca605c2865f8a9_small.jpg,34.3,227,,False,False,201-250,251+,201-250,151-200,251+,31.2,35.2,36.1,63.1,32.9
Pepperdine (Graziadio),/universities/pepperdine-university/pepperdine-graziadio-business-school,North America,United States,Malibu (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/graziadio-school-of-business-and-management_592560cf2aeae70239af55a6_small.jpg,39,228,,False,False,151-200,251+,111-120,151-200,251+,41.1,33.4,49.8,52.9,34
Porto Business School,/universities/university-porto/porto-business-school,Europe,Portugal,Porto,https://www.topuniversities.com/sites/default/files/profiles/logos/porto-business-school_592560cf2aeae70239af5730_small.jpg,35.1,229,,False,False,151-200,151-200,201-250,251+,151-200,35.7,58.4,31.6,39.1,46.9
Sabanci University,/universities/sabanci-university,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/profiles/logos/sabanci-university_542_small.jpg,37,230,,False,False,151-200,151-200,201-250,251+,151-200,37.3,58.9,34.8,41,47.3
Shanghai University,/universities/shanghai-university-mba-management-education-center,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/profiles/logos/shanghai-university-mba-and-management-education-center_592560e69988f300e2321ca4_small.jpg,36.9,231,,False,False,201-250,151-200,151-200,201-250,151-200,31.3,58.3,45.3,48.3,42.6
Sheffield University Management School,/universities/university-sheffield/university-sheffield-management-school,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sheffield-management-school_14520_small.jpg,37.4,232,,False,False,201-250,=52,201-250,201-250,111-120,30,75,32.3,45.9,54.1
Simon Fraser (Beedie),/universities/simon-fraser-university/beedie-school-business,North America,Canada,Vancouver,https://www.topuniversities.com/sites/default/files/profiles/logos/simon-fraser-university_592560cf2aeae70239af56fa_small.jpg,37.2,233,,False,False,151-200,=44,201-250,251+,111-120,36.6,76.3,35.2,29.1,53.3
South Carolina (Moore),/universities/university-south-carolina/darla-moore-school-business,North America,United States,Columbia (SC),https://www.topuniversities.com/sites/default/files/profiles/logos/darla-moore-school-of-business-university-of-south-carolina_14574_small.jpg,39.8,234,,False,False,151-200,251+,151-200,151-200,151-200,35.8,39.9,41.1,60.5,46.8
Suleman Dawood School of Business,/universities/suleman-dawood-school-business,Asia,Pakistan,Lahore,https://www.topuniversities.com/sites/default/files/profiles/logos/suleman-dawood-school-of-business_5b76be139ed41903630072f2_small.jpg,39.5,235,,False,False,151-200,251+,151-200,151-200,151-200,38.3,30.9,41.9,59.1,44.9
Sungkyunkwan University GSB,/universities/sungkyunkwan-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/profiles/logos/sungkyunkwan-university_592560cf2aeae70239af58a2_small.jpg,40.1,236,,False,False,201-250,81,201-250,201-250,111-120,35,70.4,33.9,47.3,54.5
Syracuse (Whitman),/universities/syracuse-university/martin-j-whitman-school-management,North America,United States,Syracuse (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/martin-j.-whitman-school-of-management_592560cf2aeae70239af55a8_small.jpg,35.3,237,,False,False,151-200,251+,151-200,251+,201-250,41.7,44,39.3,34.2,40.3
