University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Academic Reputation Rank,H-index Citations Rank,Employer Reputation Rank,Citations per Paper Rank,International Research Network Score,Academic Reputation Score,H-index Citations Score,Employer Reputation Score,Citations per Paper Score
United Arab Emirates University,/universities/united-arab-emirates-university,Asia,United Arab Emirates,Al Ain,https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg,59.8,358,5,False,False,255,216,377,131,401+,61.8,66.4,51,67.4,50.5
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,59.7,359,,False,False,401+,233,401+,210,401+,39.7,65.7,46.8,62.1,69.4
Universidad de Sevilla,/universities/universidad-de-sevilla,Europe,Spain,Seville,https://www.topuniversities.com/sites/default/files/universidad-de-sevilla_554_small.jpg,59.7,360,,False,False,273,332,377,370,401+,60.9,60.5,51,53,69.7
University of Waterloo,/universities/university-waterloo,North America,Canada,Waterloo,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg,59.7,361,,False,False,302,401+,390,67,356,59,54.3,50.2,74,73.1
Chiang Mai University,/universities/chiang-mai-university,Asia,Thailand,Chiang Mai,https://www.topuniversities.com/sites/default/files/chiang-mai-university_118_small.jpg,59.6,362,4,False,False,363,128,401+,339,401+,55,72.7,39.2,54.9,58.4
Lancaster University,/universities/lancaster-university,Europe,United Kingdom,"Lancaster,",https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,59.6,363,5,False,False,285,401+,257,246,388,59.9,53.9,59.9,60.1,70.5
Universität Duisburg-Essen,/universities/universitat-duisburg-essen,Europe,Germany,Duisburg,https://www.topuniversities.com/sites/default/files/universitt-duisburg-essen_199_small.jpg,59.6,364,,False,False,401+,401+,165,401+,61,48.9,51,65.9,36.7,87.3
Masaryk University,/universities/masaryk-university,Europe,Czechia,Brno,https://www.topuniversities.com/sites/default/files/masaryk-university_592560cf2aeae70239af4d5a_small.jpg,59.5,365,,False,False,266,360,370,354,392,61.2,59.2,51.4,54,70.2
University of Genoa,/universities/university-genoa,Europe,Italy,Genoa,https://www.topuniversities.com/sites/default/files/university-of-genoa_592560cf2aeae70239af4b62_small.jpg,59.5,366,,False,False,228,401+,279,401+,235,63.3,53.3,58.2,42.5,79.7
Weizmann Institute of Science,/universities/weizmann-institute-science,Asia,Israel,Rehovot,https://www.topuniversities.com/sites/default/files/weizmann-institute-of-science_671_small.jpg,59.5,367,,False,False,401+,221,308,401+,312,30.2,66.2,55.7,37.1,75.5
"Manipal Academy of Higher Education, Manipal, Karnataka, India",/universities/manipal-academy-higher-education-manipal-karnataka-india,Asia,India,Manipal,https://www.topuniversities.com/sites/default/files/manipal-academy-of-higher-education_592560cf2aeae70239af4e15_small.jpg,59.4,368,,False,False,401+,226,401+,291,401+,47.8,66,49.4,57,63.3
University of New Mexico,/universities/university-new-mexico,North America,United States,Albuquerque,https://www.topuniversities.com/sites/default/files/university-of-new-mexico_592560cf2aeae70239af4c41_small.jpg,59.4,369,,False,False,401+,401+,249,293,285,52,52.7,60.1,56.9,76.9
Florida International University,/universities/florida-international-university,North America,United States,Miami,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_small.jpg,59.3,370,,False,False,111,401+,363,331,332,70.9,53.7,51.8,55.2,74.2
Linköping University,/universities/linkoping-university,Europe,Sweden,Linköping,https://www.topuniversities.com/sites/default/files/linkping-university_348_small.jpg,59.3,371,,False,False,308,401+,337,401+,285,58.7,55.5,54,50.4,76.9
University of Zagreb,/universities/university-zagreb,Europe,Croatia,Zagreb,https://www.topuniversities.com/sites/default/files/university-of-zagreb_14110_small.jpg,59.3,372,,False,False,81,401+,299,401+,401+,73.8,54.4,56.3,50.3,69.5
Verona University,/universities/verona-university,Europe,Italy,Verona,https://www.topuniversities.com/sites/default/files/verona-university_592560cf2aeae70239af5667_small.jpg,59.3,373,,False,False,187,401+,279,401+,211,65.7,52.1,58.2,41.2,80.8
University of Bari,/universities/university-bari,Europe,Italy,Bari,https://www.topuniversities.com/sites/default/files/university-of-bari_45_small.jpg,59.1,374,,False,False,196,401+,308,401+,308,65.4,54.2,55.7,45.9,75.6
Chang Gung University,/universities/chang-gung-university,Asia,Taiwan,Taoyuan City,https://www.topuniversities.com/sites/default/files/chang-gung-university_1187_small.jpg,59,375,,False,False,401+,354,359,401+,296,45.2,59.4,52.2,50,76.3
Massey University,/universities/massey-university,Oceania,New Zealand,Palmerston North,https://www.topuniversities.com/sites/default/files/massey-university_395_small.jpg,59,376,6,False,False,305,194,401+,258,401+,58.9,68.3,39.8,59.1,59.4
Medical College of Wisconsin,/universities/medical-college-wisconsin,North America,United States,Milwaukee,https://www.topuniversities.com/sites/default/files/medical-college-of-wisconsin_592560cf2aeae70239af4d28_small.jpg,59,377,,False,False,302,401+,263,401+,172,59,51.4,59.3,41.5,82.4
Xiamen University,/universities/xiamen-university,Asia,China (Mainland),Xiamen,https://www.topuniversities.com/sites/default/files/xiamen-university_891_small.jpg,59,378,,False,False,401+,401+,331,319,268,41.5,57.2,54.3,55.8,77.7
