University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
Michigan State University,/universities/michigan-state-university,https://www.topuniversities.com/universities/michigan-state-university,North America,United States,East Lansing,https://staging.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,51.9,152,,FALSE,FALSE,259,668,701+,344,127,41,32,211,188,50.3,12.4,11.4,54.5,59.5,96.3,97.5,57.1,48.6
Nagoya University,/universities/nagoya-university,https://www.topuniversities.com/universities/nagoya-university,Asia,Japan,Nagoya,https://staging.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg,51.9,153,,FALSE,FALSE,494,550,107,671,108,186,559,533,117,25.4,19.6,84.7,14.5,63.2,75,64.8,21.5,65.8
Texas A&M University,/universities/texas-am-university,https://www.topuniversities.com/universities/texas-am-university,North America,United States,College Station,https://staging.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,51.8,154,,FALSE,FALSE,176,678,701+,569,116,371,125,287,115,64.3,12.1,4.4,21.9,61.2,39.5,92.6,44.4,66
University of Geneva,/universities/university-geneva,https://www.topuniversities.com/universities/university-geneva,Europe,Switzerland,Geneva,https://staging.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg,51.6,155,,FALSE,FALSE,189,74,387,51,183,355,93,258,499,62.4,97.6,40.4,100,45.5,42.3,94.2,49.5,17.2
University of North Carolina at Chapel Hill,/universities/university-north-carolina-chapel-hill,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,North America,United States,Chapel Hill,https://staging.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,51.6,156,,FALSE,FALSE,288,696,179,555,114,343,147,225,258,47.2,11.1,72.9,23.5,61.4,44.6,91.6,55.2,36.5
Wageningen University & Research,/universities/wageningen-university-research,https://www.topuniversities.com/universities/wageningen-university-research,Europe,Netherlands,Wageningen,https://staging.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg,51.6,157,,FALSE,FALSE,336,169,43,328,204,75,27,542,401,41.3,81.2,98.6,59.4,42.1,92.3,97.9,21.1,23.8
Erasmus University Rotterdam ,/universities/erasmus-university-rotterdam,https://www.topuniversities.com/universities/erasmus-university-rotterdam,Europe,Netherlands,Rotterdam,https://staging.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg,51.5,158,,FALSE,FALSE,182,211,701+,256,233,455,240,80,139,63.3,70,18.1,76,37,28.7,85.4,89.3,58.2
University of Groningen,/universities/university-groningen,https://www.topuniversities.com/universities/university-groningen,Europe,Netherlands,Groningen,https://staging.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg,51.3,159,,FALSE,FALSE,339,161,318,168,156,368,97,319,275,41.2,83.5,49.3,93.2,52.3,40.1,94.1,40,34.4
Université de Montréal ,/universities/universite-de-montreal,https://www.topuniversities.com/universities/universite-de-montreal,North America,Canada,Montreal,https://staging.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg,51.3,160,,FALSE,FALSE,566,273,160,205,140,81,247,229,289,19.3,54.1,76,87.6,55.5,91.4,84.9,54.2,32.8
University of Bern,/universities/university-bern,https://www.topuniversities.com/universities/university-bern,Europe,Switzerland,Bern,https://staging.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg,51.2,161,,FALSE,FALSE,22,370,338,48,298,305,103,410,530,99.3,38,45.9,100,29.7,52.1,93.8,30.7,16.1
Hanyang University,/universities/hanyang-university,https://www.topuniversities.com/universities/hanyang-university,Asia,South Korea,Seoul,https://staging.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,51.1,162,,FALSE,FALSE,458,257,153,636,199,121,584,295,81,28.5,57.6,77.1,17.4,43,85.8,63,43.3,78
Al-Farabi Kazakh National University,/universities/al-farabi-kazakh-national-university,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,Asia,Kazakhstan,Almaty,https://staging.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,51,163,5,FALSE,FALSE,701+,272,33,370,146,445,561,206,77,1.4,54.2,99.3,49,54.2,29.8,64.7,59.6,79.6
Complutense University of Madrid,/universities/complutense-university-madrid,https://www.topuniversities.com/universities/complutense-university-madrid,Europe,Spain,Madrid,https://staging.topuniversities.com/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,50.9,164,,FALSE,FALSE,701+,395,538,701+,98,103,139,41,106,7.9,34.3,28.7,10.5,68.1,88.9,91.8,96.3,68.1
Universitat de Barcelona,/universities/universitat-de-barcelona,https://www.topuniversities.com/universities/universitat-de-barcelona,Europe,Spain,Barcelona,https://staging.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,50.7,165,,FALSE,FALSE,364,461,701+,559,85,76,44,153,312,38.1,26.3,12.4,23.1,73.7,92.2,96.8,71.5,30.3
University of Liverpool,/universities/university-liverpool,https://www.topuniversities.com/universities/university-liverpool,Europe,United Kingdom,Liverpool,https://staging.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,50.7,166,,FALSE,FALSE,373,150,422,203,176,50,38,351,239,36.6,85.4,37.8,88.3,46.1,95.6,97.2,36.3,39.4
Kyushu University,/universities/kyushu-university,https://www.topuniversities.com/universities/kyushu-university,Asia,Japan,Fukuoka City,https://staging.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg,50.3,167,,FALSE,FALSE,466,640,149,613,133,170,488,657,113,27.9,14.1,78.4,18.7,58.3,77.6,69.9,15.1,66.5
University of Wollongong,/universities/university-wollongong,https://www.topuniversities.com/universities/university-wollongong,Oceania,Australia,Wollongong,https://staging.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg,50.3,168,6,FALSE,FALSE,52,265,701+,178,300,62,185,596,393,94.6,56.3,17,91.8,29.5,93.9,89,18.3,24.5
Ghent University,/universities/ghent-university,https://www.topuniversities.com/universities/ghent-university,Europe,Belgium,Ghent,https://staging.topuniversities.com/sites/default/files/ghent-university_228_small.jpg,50.1,169,,FALSE,FALSE,538,522,148,241,150,21,9,145,384,21.5,21.4,78.5,79.7,53.2,98.3,99.5,72.9,24.8
University of Exeter,/universities/university-exeter,https://www.topuniversities.com/universities/university-exeter,Europe,United Kingdom,Exeter,https://staging.topuniversities.com/sites/default/files/221117102054am246521University-of-Exeter-Simplified-Logo-Portrait-positive-200-x-200-48x48.jpg,50.1,170,,FALSE,FALSE,324,202,518,187,200,30,74,417,203,42.5,72.2,30.2,91,42.9,97.1,95.1,30.1,45
