University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Paper Rank,International Research Network Rank,Employer Reputation Rank,H-index Citations Rank,Academic Reputation Rank,Citations per Paper Score,International Research Network Score,Employer Reputation Score,H-index Citations Score,Academic Reputation Score
The University of Queensland,/universities/university-queensland,Oceania,Australia,Brisbane City,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg,75.6,63,,False,False,118,63,203,30,61,85.2,79.8,65.8,83.4,78.5
Boston University,/universities/boston-university,North America,United States,Boston,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,75.4,64,,False,False,21,226,82,30,98,89.7,65.5,72.8,83.4,74.7
Alma Mater Studiorum - Università di Bologna,/universities/alma-mater-studiorum-universita-di-bologna,Europe,Italy,Bologna,https://www.topuniversities.com/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg,75.3,65,,False,False,341,55,102,160,84,78.5,81.2,71.9,74,76.5
Universidad de los Andes,/universities/universidad-de-los-andes,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg,75.2,66,,False,False,401+,355,58,401+,45,72.9,52.8,75.1,58.2,80.4
Pennsylvania State University,/universities/pennsylvania-state-university,North America,United States,University Park,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,75.1,67,,False,False,199,28,148,53,89,83.4,84.5,69.2,81.3,75.5
HSE University,/universities/hse-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/220303011024pm152717HSE-logo-48x48.jpg,75,68,,False,True,401+,282,24,277,111,70.4,59.7,82.5,68.4,73.8
KU Leuven,/universities/ku-leuven,Europe,Belgium,Leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,75,69,,False,False,134,15,189,62,84,84.9,88.9,66.4,80.4,76.5
Michigan State University,/universities/michigan-state-university,North America,United States,East Lansing,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,75,70,,False,False,111,31,145,35,98,85.4,84,69.5,83,74.7
ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,74.9,71,,False,False,25,61,39,198,170,89.3,80.1,78.7,72.1,70.4
Zhejiang University,/universities/zhejiang-university,Asia,China (Mainland),Hangzhou,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg,74.7,72,,False,False,117,296,18,160,198,85.3,58.5,84.1,74,69.2
University of Wisconsin-Madison,/universities/university-wisconsin-madison,North America,United States,Madison,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,74.6,73,,False,False,59,99,217,21,78,87.5,75.2,65,85.3,76.8
Sciences Po,/universities/sciences-po,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg,74.4,74,,False,False,275,401+,166,229,38,81.1,37.1,67.8,70.7,81.7
National Taiwan University (NTU),/universities/national-taiwan-university-ntu,Asia,Taiwan,Taipei,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,74.3,75,,False,False,267,300,103,314,66,81.3,58.3,71.8,66.7,77.5
The University of Auckland,/universities/university-auckland,Oceania,New Zealand,Auckland,https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-48x48.jpg,74.3,76,,False,False,181,156,197,88,67,83.8,70.8,66,79,77.4
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,74.1,77,,False,False,22,269,189,88,74,89.6,61.5,66.4,79,76.9
Universiti Malaya (UM),/universities/universiti-malaya-um,Asia,Malaysia,Kuala Lumpur,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg,74.1,78,,False,False,218,136,170,198,69,82.7,72.1,67.5,72.1,77.3
Université PSL,/universities/universite-psl,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,73.9,79,,False,False,341,4,72,198,156,78.5,98.9,73.6,72.1,71.2
Complutense University of Madrid,/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,73.8,80,,False,False,401+,29,82,329,96,72.6,84.3,72.8,65.8,74.8
Copenhagen Business School,/universities/copenhagen-business-school,Europe,Denmark,Frederiksberg,https://www.topuniversities.com/sites/default/files/copenhagen-business-school_710_small.jpg,73.8,81,,False,False,46,401+,330,198,25,88,42.9,59.2,72.1,83.8
Humboldt-Universität zu Berlin,/universities/humboldt-universitat-zu-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg,73.7,82,,False,False,169,145,263,198,52,84.1,71.8,62.4,72.1,79.3
University of Leeds,/universities/university-leeds,Europe,United Kingdom,Leeds,https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg,73.5,83,,False,False,78,15,158,62,142,86.7,88.9,68.4,80.4,72.1
University of Washington,/universities/university-washington,North America,United States,Seattle,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,73.4,84,,False,False,72,42,178,53,122,86.9,82.3,67,81.3,73.1
Kyoto University,/universities/kyoto-university,Asia,Japan,Kyoto,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,73.3,85,,False,False,373,229,116,382,79,75.9,65.3,71.3,61.8,76.7
Universitat Pompeu Fabra (Barcelona),/universities/universitat-pompeu-fabra,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/universitat-pompeu-fabra_504_small.jpg,73.2,86,,False,False,78,308,268,99,58,86.7,57.5,62,78.5,78.7
"University of California, San Diego (UCSD)",/universities/university-california-san-diego-ucsd,North America,United States,San Diego,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,73.2,87,,False,False,15,62,178,24,148,91.2,80,67,84.9,71.7
Luiss University,/universities/luiss-university,Europe,Italy,Rome,https://www.topuniversities.com/sites/default/files/luiss-university_592560cf2aeae70239af4d87_small.jpg,73.1,88,,False,False,399,401+,28,342,114,73.7,25.6,82,64.9,73.6
University of Southern California,/universities/university-southern-california,North America,United States,Los Angeles,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg,73.1,89,,False,False,25,188,234,35,92,89.3,67.8,64.1,83,75.2
University of Illinois at Urbana-Champaign,/universities/university-illinois-urbana-champaign,North America,United States,Champaign,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,73,90,,False,False,133,117,164,62,124,85,74,67.9,80.4,73
University of Minnesota Twin Cities,/universities/university-minnesota-twin-cities,North America,United States,Minneapolis,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,73,91,,False,False,94,21,288,20,95,86.2,87.1,60.9,86,74.9
Carnegie Mellon University,/universities/carnegie-mellon-university,North America,United States,Pittsburgh,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,72.9,92,,False,False,8,157,114,78,178,93.5,70.7,71.4,79.5,70
Universidad Carlos III de Madrid (UC3M),/universities/universidad-carlos-iii-de-madrid-uc3m,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg,72.9,93,,False,False,321,359,142,314,74,79.2,52.6,69.6,66.7,76.9
Tilburg University,/universities/tilburg-university,Europe,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,72.7,94,,False,False,81,350,288,88,59,86.6,53.5,60.9,79,78.6
The Ohio State University,/universities/ohio-state-university,North America,United States,Columbus,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,72.6,95,,False,False,105,93,197,43,130,85.7,75.7,66,82.1,72.8
Universitat Autònoma de Barcelona,/universities/universitat-autonoma-de-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/universitat-autnoma-de-barcelona_592560cf2aeae70239af4ab0_small.jpg,72.6,96,,False,False,140,169,207,78,101,84.7,69.9,65.5,79.5,74.3
Waseda University,/universities/waseda-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg,72.6,97,,False,False,401+,370,122,401+,62,71.3,50.4,70.6,58.2,78.3
University of Glasgow,/universities/university-glasgow,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,72.5,98,6,False,False,275,126,188,105,110,81.1,73.2,66.6,78,73.9
Ludwig-Maximilians-Universität München,/universities/ludwig-maximilians-universitat-munchen,Europe,Germany,Munich,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,72.4,99,,False,False,68,194,297,62,79,87.1,67.6,60.5,80.4,76.7
Renmin (People's) University of China,/universities/renmin-peoples-university-china,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/renmin-peoples-university-of-china_884_small.jpg,72.3,100,,False,False,225,401+,139,247,87,82.5,41,69.7,70,75.9
Universitat Ramon Llull,/universities/universitat-ramon-llull,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/RL-logo-48x48.jpg,72.3,101,,False,False,249,401+,74,277,101,81.9,37.3,73.4,68.4,74.3
Durham University,/universities/durham-university,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,72.2,102,,False,False,213,93,178,144,124,82.9,75.7,67,75.2,73
University of Copenhagen,/universities/university-copenhagen,Europe,Denmark,Copenhagen,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,72.2,103,,False,False,199,6,273,78,114,83.4,94.9,61.5,79.5,73.6
Utrecht University,/universities/utrecht-university,Europe,Netherlands,Utrecht,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg,72.2,104,,False,False,28,73,268,24,120,89.1,77.9,62,84.9,73.3
Georgetown University,/universities/georgetown-university,North America,United States,Washington D.C.,https://www.topuniversities.com/sites/default/files/220714055746am997087Georgetown-48x48.jpg,72,105,,False,False,220,394,164,151,94,82.6,47.2,67.9,74.7,75
